weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url_count,video_count,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Tuesday,23,112,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,23,277,80,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,2
Tuesday,22,255,2,2,2,2,,0,0,0,2,0,0,2,0,1,2,0,2
Tuesday,21,63,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,20,180,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,19,134,2,2,51,2,,1,0,0,0,0,1,1,1,1,1,2,2
Tuesday,16,255,2,2,2,2,,0,0,0,2,1,1,2,0,0,2,2,3
Tuesday,14,53,2,2,2,2,,0,0,0,1,0,0,1,0,2,1,1,1
Tuesday,13,82,2,2,2,2,,0,0,0,1,0,0,0,0,0,1,0,1
Tuesday,11,239,2,2,2,2,,0,0,0,3,0,0,4,1,2,3,0,4
Tuesday,10,130,2,2,2,2,,0,0,0,0,0,0,0,0,1,0,1,1
Tuesday,4,190,77,2,51,2,,1,0,0,0,0,0,0,0,0,0,1,0
Tuesday,4,255,2,60,2,2,,0,0,0,1,0,0,2,1,1,2,1,3
Tuesday,4,96,2,2,2,2,,0,0,0,1,0,1,0,0,1,1,0,1
Tuesday,3,62,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,3,51,2,2,63,2,,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,1,76,2,2,2,2,,0,0,0,0,0,0,0,0,0,1,0,1
Tuesday,0,301,2,2,51,2,,1,0,0,2,0,0,2,0,0,2,0,5
Saturday,23,304,156,26,2,2,,1,0,0,0,1,0,0,0,0,0,1,0
Saturday,22,106,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,1
Saturday,22,95,2,2,51,2,,1,0,0,1,0,0,0,0,0,0,0,1
Saturday,20,148,2,2,2,2,,0,0,0,2,1,0,2,0,2,2,0,4
Saturday,20,301,2,27,153,123,,1,0,1,0,0,0,0,0,0,0,1,3
Saturday,19,300,2,32,2,27,,1,0,0,2,0,0,3,0,0,3,0,3
Saturday,18,125,2,2,2,2,,0,0,0,1,0,0,2,0,1,2,0,3
Saturday,17,290,2,2,51,2,,1,0,0,3,0,1,1,0,0,0,1,3
Monday,21,119,2,63,2,2,,0,0,1,0,0,1,1,1,0,0,2,0
Monday,21,124,2,63,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Monday,21,180,2,63,2,2,,0,0,0,1,0,1,1,0,1,0,0,2
Monday,19,191,2,2,51,2,,1,0,0,0,1,0,0,0,1,0,1,2
Monday,19,139,2,2,2,2,,0,0,1,0,1,1,0,1,0,0,1,0
Monday,15,308,2,2,51,2,,1,0,0,0,0,0,1,0,0,0,0,2
Monday,3,43,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,21,253,2,2,2,2,,0,0,0,0,2,0,1,2,0,1,2,1
Sunday,19,278,2,2,2,2,,0,0,0,1,0,1,0,1,0,2,1,4
Sunday,19,245,2,2,2,2,,0,0,0,1,0,0,0,0,0,1,0,2
Sunday,18,255,2,2,2,2,,0,0,1,1,1,0,3,1,1,3,2,3
Sunday,18,58,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,16,254,2,2,2,2,,0,0,1,0,0,1,0,1,0,1,1,1
Sunday,12,292,148,2,51,2,,1,0,0,1,0,0,1,0,0,1,0,3
Sunday,6,269,2,2,2,34,,0,0,1,0,0,2,0,0,0,0,1,3
Sunday,5,179,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
Sunday,2,249,2,2,2,2,,0,0,2,0,0,0,0,0,0,1,1,2
Sunday,0,126,2,2,2,2,,0,0,1,1,0,1,0,0,0,1,0,2
Saturday,23,113,2,2,2,2,,0,0,0,1,0,0,1,0,1,2,0,2
Saturday,19,187,73,2,63,2,58.0,1,0,0,1,0,0,1,0,1,1,0,2
Saturday,19,196,2,2,2,2,,0,0,0,1,0,0,0,0,1,3,0,2
Saturday,18,193,2,2,2,2,,0,0,0,1,0,0,0,0,0,0,0,1
Saturday,18,162,2,2,2,2,,0,0,0,0,1,0,1,0,0,1,1,3
Saturday,17,303,68,2,51,2,,1,0,0,2,0,0,2,0,1,2,1,5
Saturday,16,286,2,2,51,2,,1,0,1,1,3,1,0,2,1,0,3,2
Saturday,15,298,2,2,51,23,,1,0,1,0,0,0,1,0,0,1,0,3
Saturday,12,305,2,64,102,2,,1,0,0,1,0,0,1,1,1,0,0,1
Saturday,4,281,2,2,51,32,,1,0,1,0,1,0,0,0,0,0,2,1
Saturday,0,194,2,2,51,2,,1,0,0,0,0,0,0,0,0,0,0,0
Friday,21,171,2,2,51,2,,1,0,1,0,1,1,0,1,1,1,2,0
Friday,5,305,2,2,51,2,,1,0,1,0,1,1,1,1,1,1,3,3
Friday,1,263,2,29,51,2,,1,0,0,0,0,1,1,0,0,1,0,3
Thursday,22,250,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,4
Thursday,18,163,2,2,2,2,,0,0,0,1,0,0,0,0,0,1,0,1
Thursday,14,253,2,2,102,91,,1,0,0,0,0,0,1,1,0,0,1,2
Thursday,1,128,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0
