"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"463",0,0,0,0,0,0,0,1,0,0
"464",0,0,0,0,0,0,0,0,0,0
"465",0,2,1,0,1,0,0,2,1,4
"466",0,0,0,0,0,0,0,0,0,0
"467",0,0,0,0,0,0,0,0,0,2
"468",0,0,1,0,0,0,0,0,1,0
"469",0,1,1,0,1,1,0,1,1,3
"470",0,1,0,0,1,0,1,1,0,3
"471",0,0,0,0,0,0,1,0,0,0
"472",1,0,0,1,0,0,0,1,2,0
"473",0,0,0,0,0,0,0,0,0,0
"474",0,1,2,0,2,0,0,1,2,2
"475",0,0,0,0,0,0,0,1,0,0
"476",0,0,0,0,0,0,0,0,1,0
"477",1,0,0,1,1,2,0,0,1,1
"478",0,1,1,0,1,0,0,0,2,4
"479",0,0,0,0,0,0,0,0,0,2
"480",2,1,0,1,2,1,0,1,2,2
"481",0,0,1,0,0,0,0,0,1,0
"482",3,0,1,2,0,2,2,0,3,0
"483",0,0,0,0,0,0,0,0,0,1
"484",0,0,1,0,0,2,0,0,1,1
"485",0,0,0,1,0,0,0,0,0,0
"486",0,0,0,0,0,0,0,0,0,1
"487",0,1,0,0,1,1,1,2,0,2
"488",0,0,0,0,0,0,0,0,0,0
"489",1,2,0,0,2,0,1,2,2,3
"490",0,0,0,0,0,0,0,0,0,1
"491",1,0,1,0,0,1,0,1,3,1
"492",0,3,0,0,1,0,1,2,2,4
"493",0,0,0,0,0,0,0,0,0,0
"494",1,0,1,1,0,1,0,0,2,0
"495",0,0,0,0,0,0,0,0,0,0
"496",0,1,0,0,3,0,1,2,0,3
"497",0,2,2,0,2,0,1,2,2,8
"498",0,1,0,0,1,0,1,1,0,1
"499",0,0,0,0,0,0,0,0,0,2
"500",0,0,1,0,0,0,0,0,1,1
"501",1,0,0,1,0,1,1,0,1,1
"502",0,0,1,0,0,0,0,1,1,0
"503",1,0,1,0,0,1,0,0,2,1
"504",0,0,2,0,0,0,0,0,2,0
"505",0,1,0,0,1,0,1,0,0,2
"506",0,0,0,0,0,0,0,0,0,1
"507",0,2,0,0,2,0,2,2,1,2
"508",0,0,0,0,0,0,0,0,0,0
"509",0,0,1,0,0,1,0,0,2,0
"510",0,1,0,0,1,0,1,2,1,2
"511",0,0,0,0,1,0,1,0,0,2
"512",0,0,1,0,0,0,1,1,1,2
"513",0,0,2,1,1,1,0,1,2,3
"514",0,0,0,0,0,1,0,0,0,0
"515",2,2,0,0,1,0,1,3,2,5
"516",0,0,0,0,0,0,0,0,0,0
"517",0,0,0,2,0,1,0,0,1,0
"518",0,1,0,0,1,0,0,1,0,1
"519",1,1,1,1,1,1,1,2,1,2
"520",0,0,0,0,0,1,0,0,0,0
"521",1,1,0,1,1,0,1,2,1,4
"522",0,1,0,1,1,2,0,1,2,2
"523",1,1,0,1,1,0,1,2,1,4
"524",0,0,0,0,0,1,0,0,1,1
"525",1,1,0,1,1,0,0,1,0,3
"526",0,0,0,0,0,0,0,0,0,0
"527",1,1,0,1,1,1,0,1,1,3
"528",1,4,0,1,1,2,0,1,2,3
"529",1,0,0,0,0,0,0,0,1,0
"530",1,2,0,1,2,0,2,3,1,5
"531",0,0,0,0,0,0,0,0,0,0
"532",0,0,0,0,0,0,0,0,0,1
"533",1,0,0,0,0,0,0,0,1,0
"534",0,0,0,0,4,0,0,2,0,4
"535",0,0,0,0,0,0,0,0,0,1
"536",0,1,0,0,0,0,0,0,0,0
"537",0,1,0,0,0,0,0,0,0,2
"538",0,0,0,0,0,0,0,0,0,0
"539",0,0,0,1,0,0,0,1,0,2
"540",0,1,0,0,1,0,1,2,0,2
"541",0,0,0,0,0,0,0,0,1,0
"542",0,0,0,0,0,0,0,0,0,0
"543",0,1,0,0,1,0,1,0,0,1
"544",0,0,0,0,0,1,0,0,1,1
"545",0,0,0,0,0,0,0,0,0,0
"546",0,0,1,0,0,0,0,0,1,0
"547",1,2,0,0,0,0,0,0,0,0
"548",0,1,0,0,0,2,0,0,2,1
"549",1,0,0,1,0,0,0,0,1,0
"550",1,0,1,1,0,1,0,0,1,0
"551",0,2,2,0,0,1,0,0,3,1
"552",0,1,1,0,0,1,0,1,2,2
"553",0,0,0,0,0,0,0,0,0,0
"554",0,0,0,0,0,0,0,0,0,0
"555",0,0,0,1,0,1,0,0,0,0
"556",1,2,3,1,1,2,1,2,5,1
"557",1,0,0,0,0,0,0,0,1,0
"558",0,0,0,0,0,0,0,0,0,0
"559",0,0,0,0,0,0,0,0,0,0
"560",0,1,0,0,1,0,0,1,0,1
"561",1,0,1,0,0,0,0,0,1,0
"562",0,0,0,1,0,0,1,1,0,2
"563",0,0,0,0,0,0,0,0,0,0
"564",0,0,0,0,2,0,0,3,0,2
"565",0,1,0,0,2,0,0,2,0,2
"566",0,0,0,0,0,0,0,0,0,0
"567",0,0,0,0,0,0,0,1,1,1
"568",0,0,0,0,0,0,0,0,0,0
"569",0,1,0,0,0,0,0,0,0,2
"570",1,0,0,0,0,0,0,0,1,0
"571",0,0,0,1,0,0,0,1,0,3
"572",0,0,0,0,1,0,0,0,0,1
"573",1,0,0,0,0,0,0,0,1,0
"574",1,0,0,0,0,0,0,0,1,0
"575",0,0,0,0,0,0,0,0,0,0
"576",0,2,0,0,0,0,0,1,0,0
"577",1,1,1,1,0,1,0,0,1,0
"578",1,1,1,2,0,1,0,1,1,2
"579",0,0,0,0,0,0,0,0,0,0
"580",0,0,0,0,0,0,0,0,0,0
"581",0,2,0,0,2,0,1,1,1,4
"582",0,0,0,0,0,1,0,0,0,0
"583",0,0,0,0,0,0,0,0,0,0
"584",0,0,0,0,0,0,0,0,0,0
"585",0,0,0,0,0,0,0,0,0,1
"586",0,2,0,0,1,0,1,2,0,2
"587",0,3,0,1,1,0,1,1,4,2
"588",1,0,1,1,1,1,0,0,1,2
"589",0,0,0,0,0,0,0,0,0,0
"590",1,0,1,1,0,1,0,0,1,0
"591",0,0,1,0,1,0,0,1,0,3
"592",1,0,0,0,0,0,0,0,1,0
"593",1,0,0,0,0,0,0,0,1,0
"594",1,0,0,0,0,0,0,0,1,0
"595",1,0,0,0,0,0,0,0,1,0
"596",0,1,1,0,1,0,0,1,1,1
"597",0,1,0,1,1,0,0,1,0,2
"598",0,0,1,0,0,0,0,0,1,0
"599",0,0,1,0,0,0,0,0,1,0
"600",0,0,0,0,0,0,0,0,0,0
