weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url,video,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Saturday,23,113,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2
Saturday,19,187,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,2
Saturday,19,196,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,2
Saturday,18,193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Saturday,18,162,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
Saturday,17,303,1,0,1,0,0,1,0,0,2,0,0,2,0,1,2,1,5
Saturday,16,286,0,0,1,0,0,1,0,1,1,3,1,0,2,1,0,3,2
Saturday,15,298,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,3
Saturday,12,305,0,1,2,0,0,1,0,0,1,0,0,1,1,1,0,0,1
Saturday,4,281,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,2,1
Saturday,0,194,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Friday,21,171,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,2,0
Friday,5,305,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,3,3
Friday,1,263,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,3
Thursday,22,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Thursday,18,163,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Thursday,14,253,0,0,2,7,0,1,0,0,0,0,0,1,1,0,0,1,2
Thursday,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,21,302,0,0,1,6,0,1,0,0,0,0,0,1,0,0,1,0,2
Wednesday,21,223,0,0,0,0,0,0,0,0,4,0,0,2,0,2,2,1,2
Wednesday,20,135,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,2,1
Wednesday,18,251,0,0,1,4,0,1,0,0,1,1,0,1,0,0,1,1,1
Wednesday,17,164,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wednesday,7,253,0,0,0,0,0,0,0,0,5,0,0,2,0,2,2,1,2
Tuesday,23,114,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,21,213,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2
Tuesday,21,304,0,0,1,3,0,1,0,0,3,0,0,4,1,0,3,1,5
Tuesday,18,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,17,252,0,0,1,0,0,1,0,0,2,1,0,1,0,0,2,2,3
Tuesday,16,304,0,0,1,3,0,1,0,0,1,0,0,2,0,1,2,0,2
Tuesday,14,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,6,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,2,282,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
